Feature,Importance
Age,0.2745589691492293
Profession,0.08600599029035139
Have you ever had suicidal thoughts ?,0.06930343438507729
Total Pressure,0.06340100585820828
id,0.05698631429176515
Financial Stress,0.05504453374766315
Work/Study Hours,0.0532622673133003
Total Satisfaction,0.05182923564007029
City,0.045813351791254044
Sleep Duration,0.024059748319544917
Dietary Habits,0.022550654713445195
Family History of Mental Illness,0.011637195503965981
Gender,0.008267747240916185
Name_Rohan,0.0025425889481201355
Degree,0.002421554048748075
Name_Anvi,0.0020708636525624533
Name_Vikram,0.002064283926655391
Name_Aaradhya,0.0020129102043252105
Name_Aarav,0.002011056311222515
Name_Ishan,0.0019337428995066296
Name_Vani,0.0018668242460175464
Name_Vidya,0.0017747843462621652
Name_Raunak,0.0017479402853531737
Name_Anand,0.001717004113339537
Name_Abhishek,0.001704810169339442
Name_Aarush,0.0016701341688477988
Name_Shiv,0.0016399509995148613
Name_Rashi,0.001626751698233646
Name_Rupak,0.0016107687170437575
Name_Ivaan,0.0015274194269426426
Name_Riya,0.0015015461407352786
Name_Aditi,0.0014865868016814682
Name_Rahil,0.0014742438813716318
Name_Ishaani,0.0014680222017320098
Name_Shivam,0.0014555570495516435
Name_Naina,0.0014169777773548544
Name_Raghavendra,0.0013983612742727906
Name_Shreya,0.001391300091021149
Name_Anushka,0.001388591605632463
Name_Saurav,0.0013548902899292385
Name_Advait,0.0013462444432170563
Name_Ansh,0.001338777672677865
Name_Mahika,0.0013356535621188114
Name_Sanya,0.0013289263874019838
Name_Nishant,0.0013285503568711396
Name_Ishita,0.0013160910836364234
Name_Veda,0.0013000849024304446
Name_Aishwarya,0.00129399803402347
Name_Shaurya,0.0012748646740795553
Name_Rupal,0.001264918381713013
Name_Prisha,0.0012573296507884138
Name_Siddhesh,0.001250080781880762
Name_Simran,0.0012395472748168528
Name_Yashvi,0.0012387281285957787
Name_Vidhi,0.001229542583435485
Name_Ritika,0.001226822232625189
Name_Krishna,0.0012266598782544062
Name_Prachi,0.001223220933771672
Name_Harsha,0.0012113464608990892
Name_Vibha,0.0012027898970922266
Name_Harsh,0.001181904977667214
Name_Ira,0.0011805317441874383
Name_Aariv,0.0011735123462270054
Name_Gauri,0.0011732462341665435
Name_Satyam,0.0011727195136276083
Name_Vedant,0.0011714900430658507
Name_Sanket,0.0011714064457581709
Name_Vivan,0.0011672694990834036
Name_Arav,0.0011617243934922623
Name_Jiya,0.001115918833628587
Name_Ila,0.001111631258229639
Name_Ayaan,0.0011094515526497695
Name_Ishwar,0.0010937700563535466
Name_Tushar,0.0010742531641732493
Name_Aniket,0.0010688124399821403
Name_Aahana,0.0010683677024005836
Name_Mahi,0.001061420542222871
Name_Yuvraj,0.0010584926732921244
Name_Janvi,0.0010381574658121127
Name_Raghav,0.0010364657748628853
Name_Pratham,0.0010356983171862495
Name_Ritvik,0.0010321972959396652
Name_Pranav,0.0010260499721236878
Name_Chhavi,0.0010154753724501326
Name_Vihaan,0.0009906265622474063
Name_Yogesh,0.0009885898173562187
Name_Anjali,0.0009770828162534184
Name_Anirudh,0.0009702483698302183
Name_Samaira,0.000968345146153647
Name_Ritik,0.000967266521812002
Name_Parth,0.000966569606360164
Name_Aanchal,0.0009661102261830473
Name_Ayush,0.0009524672730683719
Name_Keshav,0.0009434009357382159
Name_Esha,0.0009358523501849865
Name_Shrey,0.0009338248926437161
Name_Nandini,0.0009239422612741119
Name_Kiran,0.0009147148118881608
Name_Nikhil,0.0009134114174060745
Name_Jhanvi,0.000910975386234923
Name_Pratyush,0.0009060705867448259
Name_Rajat,0.0008782235595268541
Name_Rudransh,0.0008674002666636323
Name_Kashish,0.0008659192973674675
Name_Eshita,0.0008631085385370668
Name_Aarohi,0.0008564811231159309
Name_Amit,0.0008558983880842683
Name_Armaan,0.0008554188963198026
Name_Neha,0.0008546646956972805
Name_Tanisha,0.0008498643008139275
Name_Aarti,0.0008456606683586539
Name_Gagan,0.0008410503839599573
Name_Shlok,0.0008409845082625196
Name_Siddharth,0.0008372029296157212
Name_Reyansh,0.0008349035972168658
Name_Rishi,0.000833565292856866
Name_Garima,0.0008309966495790843
Name_Vrinda,0.0008303232907001734
Name_Pari,0.0008288197794510587
Name_Harshil,0.0008287047356439002
Name_Sanjeev,0.0007996997994634307
Name_Mihir,0.0007858725540377119
Name_Bhavesh,0.0007721683631657423
Name_Tanmay,0.0007697669184440419
Name_Arnav,0.0007571692725776324
Name_Arya,0.000755766063279997
Name_Anaya,0.0007360648339013833
Name_Utkarsh,0.0007319862781471747
Name_Nikita,0.0007304898611497078
Name_Kartikeya,0.000711554189195832
Name_Khushi,0.0007099456300380816
Name_Charvi,0.0006967184120107147
Name_Tanvi,0.0006812289110513867
Name_Chirag,0.0006799847614558195
Name_Aditya,0.0006663313991548214
Name_Rajveer,0.0006513804345845621
Name_Ayansh,0.0006393339249702886
Name_Divya,0.000638442587097934
Name_Anika,0.0006249776593720167
Name_Shivansh,0.0006188878436437738
Name_Zara,0.0006161933282467798
Name_Kush,0.0005937260299907881
Name_Manan,0.0005914141918814894
Name_Dev,0.0005907162848062165
Name_Asha,0.0005811571784043878
Name_Vivaan,0.0005782274408507707
Name_Rhea,0.0005719557857968331
Name_Nirvaan,0.0005681211603072143
Name_Vanya,0.0005676664261812479
Name_Jai,0.0005518940064487936
Name_Ishaan,0.0005481271564068312
Name_Shruti,0.0005459865184957273
Name_Saanvi,0.0005368633871751505
Name_Neil,0.0005344069237053866
Name_Kian,0.0005327627696106866
Name_Tanya,0.0005289934954440598
Name_Barkha,0.0005272281484412124
Name_Damini,0.0005251819234659906
Name_Yash,0.0005213242112765172
Name_Kunal,0.0005189885983358547
Name_Abhinav,0.0005151236152571774
Name_Manvi,0.0005014705418397407
Name_Pooja,0.0005010782398519073
Name_Trisha,0.0004991305094355829
Name_Om,0.0004983758709132145
Name_Vaanya,0.0004774943996182673
Name_Darsh,0.0004646776408863935
Name_Siddhi,0.00045842502857224997
Name_Kavya,0.0004540992708455178
Name_Mayank,0.00045297338054541323
Name_Mithila,0.00045194211194958035
Name_Arjun,0.00044598619596346805
Name_Lavanya,0.00044088056048025004
Name_Samar,0.00043967399929768346
Name_Soham,0.0004267416998940363
Name_Hrithik,0.0004264256888916292
Name_Virat,0.00042038257070732674
Name_Aarya,0.00041686006604717485
Name_Kriti,0.00041419456092504556
Name_Sai,0.00040670858411626256
Name_Rupa,0.0003934586134041915
Name_Suhani,0.0003859961654670811
Name_Aakash,0.0003775540175548145
Name_Pallavi,0.00037723683978565435
Name_Gaurav,0.000376390278957626
Name_Atharv,0.0003762974029659617
Name_Kabir,0.0003760431321676946
Name_Monika,0.0003719415595377627
Name_Tina,0.000361301740076666
Name_Palak,0.00036103238322622637
Name_Nakul,0.00034561675410310644
Name_Shanaya,0.00033935835797984775
Name_Ranveer,0.00033916071635992995
Name_Navya,0.0003314189921999711
Name_Kartik,0.0003257587735235992
Name_Leela,0.0003215092132801747
Name_Zoya,0.0003069464726615382
Name_Aryan,0.0003030324920156938
Name_Rudra,0.0002948926359226626
Name_Sneha,0.0002914547361516637
Name_Bhavna,0.0002913280566455256
Name_Lata,0.00028685431843912854
Name_Deepak,0.0002772007503541113
Name_Nalini,0.000277096226891948
Name_Isha,0.00026405287522552186
Name_Varun,0.00025829839594243743
Name_Nisha,0.0002560686670034502
Name_Tara,0.0002489799523032719
Name_Diya,0.0002395260001724505
Name_Apoorva,0.0002322457629257664
Name_Lakshay,0.00022693311829085524
Name_Dhruv,0.00022385462465860604
Name_Tejas,0.0002015296605332737
Name_Vaishnavi,0.00020071935170020428
Name_Yamini,0.00019771107437822327
Name_Mukund,0.00019513092366866888
Name_Avni,0.0001936142118801236
CGPA,0.00018170793733854082
Name_Kanika,0.00016853189099720113
Name_Himani,0.00016364013041485315
Name_Karishma,0.0001427285287262765
Name_Mira,0.00010349456247648245
Name_Pihu,0.0001023299684352157
Name_Sara,8.763783259655854e-05
Name_Radhika,7.951143892347721e-05
Name_Jasmine,7.426704006990333e-05
Name_Siddh,6.267786138406351e-05
Name_Aarash,5.8134516654911625e-05
Name_Kiara,5.4146023746237066e-05
Name_Meera,3.272268475690041e-05
Name_Srishti,3.079600810470831e-05
Name_Pradhya,2.806406677829897e-05
Name_Harini,2.6065555158084585e-05
Name_Kalyan,7.101339170120028e-06
Name_Rupar,4.088412669711609e-06
Name_Kolkata,6.49708260064192e-07
Name_Aan,6.169235163535782e-08
Name_Tarsh,1.240750423604212e-11
Name_Parha,0.0
Name_Aavya,0.0
Name_Virar,0.0
Name_Shivvi,0.0
Name_Nanya,0.0
Name_Prandini,0.0
Name_Ishaam,0.0
Name_Harshaun,0.0
Name_Jathesh,0.0
Name_Ishaansh,0.0
Name_Pariv,0.0
Name_Rupil,0.0
Name_Ewesh,0.0
Name_Anahk,0.0
Name_Aariket,0.0
Name_Prishi,0.0
Name_Taurav,0.0
Name_Randik,0.0
Name_Rika,0.0
Name_Anariv,0.0
Name_Aieter,0.0
Name_Prarav,0.0
Name_Jaish,0.0
Name_Tani,0.0
Name_Irit,0.0
Name_Golkut,0.0
Name_Manjun,0.0
Name_Adachi,0.0
Name_Vakash,0.0
Working Professional or Student,0.0
Name_Parvik,0.0
Name_Vita,0.0
Name_Chrinda,0.0
Name_Shivwar,0.0
Name_Shir,0.0
Name_Nhanvi,0.0
Name_Anya,0.0
Name_Anupal,0.0
Name_Mahav,0.0
Name_Ayoub,0.0
Name_Anisha,0.0
Name_Hra,0.0
Name_Anar,0.0
Name_Rupika,0.0
Name_Anohi,0.0
